"cycle.number"	"Ns"	"time.s"	"X.I..mA"	"Ecell.V"	"Q.discharge.mA.h"	"Q.charge.mA.h"	"dq.mA.h"	"X.Q.Qo..mA.h"	"Capacity.mA.h"	"Energy.charge.W.h"	"Energy.discharge.W.h"	"X"
0	1	7200,19034199067	-0,0946583457034308	2,0149539	3,57555334352785e-06	0	-1,57763916999102e-06	-3,57555334352785e-06	3,57555334352785e-06	0	7,24676422630276e-09	NA
0	1	7200,25434199371	-0,0946492396042578	1,9995227	5,25820657196972e-06	0	-1,68265322844187e-06	-5,25820657196972e-06	5,25820657196972e-06	0	1,06112675292512e-08	NA
0	1	7200,32034199685	-0,0946492769700466	1,9840915	6,9934433988399e-06	0	-1,73523682687018e-06	-6,9934433988399e-06	6,9934433988399e-06	0	1,4054136203173e-08	NA
0	1	7200,38834200008	-0,0946330981412959	1,9688177	8,78095755974452e-06	0	-1,78751416090462e-06	-8,78095755974452e-06	8,78095755974452e-06	0	1,75734257416045e-08	NA
0	1	7200,4583420034	-0,0946116560037166	1,9537802	1,06206287360854e-05	0	-1,83967117634084e-06	-1,06206287360854e-05	1,06206287360854e-05	0	2,11677388130883e-08	NA
0	1	7200,53034200682	-0,0946318751991591	1,9386245	1,2513266329964e-05	0	-1,89263759387864e-06	-1,2513266329964e-05	1,2513266329964e-05	0	2,48368524245273e-08	NA
0	1	7200,60434201034	-0,0946222680003604	1,923587	1,44582797090213e-05	0	-1,94501337905725e-06	-1,44582797090213e-05	1,44582797090213e-05	0	2,85782548064685e-08	NA
0	1	7200,68234201404	-0,0946257335011923	1,908392	1,65085040322608e-05	0	-2,05022432323959e-06	-1,65085040322608e-05	1,65085040322608e-05	0	3,24908864057887e-08	NA
0	1	7200,76434201794	-0,0946375046677928	1,8931576	1,86641361854143e-05	0	-2,15563215315342e-06	-1,86641361854143e-05	1,86641361854143e-05	0	3,65718378022596e-08	NA
0	1	7200,84834202193	-0,0946270317306853	1,8781201	2,08721003640029e-05	0	-2,20796417858866e-06	-2,08721003640029e-05	2,08721003640029e-05	0	4,0718659628284e-08	NA
0	1	7200,93634202611	-0,0946486808107396	1,8628857	2,31857348937127e-05	0	-2,31363452970982e-06	-2,31857348937127e-05	2,31857348937127e-05	0	4,50286963401195e-08	NA
0	1	7201,02634203038	-0,0946093429888197	1,8478482	2,55509685807758e-05	0	-2,36523368706306e-06	-2,55509685807758e-05	2,55509685807758e-05	0	4,93992890968343e-08	NA
0	1	7201,12234203494	-0,0946492405355803	1,8327318	2,80749484482739e-05	0	-2,52397986749808e-06	-2,80749484482739e-05	2,80749484482739e-05	0	5,40250673710756e-08	NA
0	1	7201,22234203969	-0,0946536206944523	1,8174582	3,07042158146699e-05	0	-2,62926736639606e-06	-3,07042158146699e-05	3,07042158146699e-05	0	5,88036507819468e-08	NA
0	1	7201,32834204473	-0,0946348684892963	1,8023418	3,34906870747606e-05	0	-2,78647126009067e-06	-3,34906870747606e-05	3,34906870747606e-05	0	6,3825824460919e-08	NA
0	1	7201,43834204995	-0,0946318561136324	1,7872649	3,63822161489063e-05	0	-2,89152907414569e-06	-3,63822161489063e-05	3,63822161489063e-05	0	6,89937530071601e-08	NA
0	1	7201,55434205546	-0,0946430024409281	1,7721881	3,94318241501848e-05	0	-3,04960800127851e-06	-3,94318241501848e-05	3,94318241501848e-05	0	7,43982319173839e-08	NA
0	1	7201,67834206135	-0,0946498356506772	1,7570717	4,26919853107797e-05	0	-3,26016116059489e-06	-4,26919853107797e-05	4,26919853107797e-05	0	8,01265689392374e-08	NA
0	1	7201,80834206752	-0,094645321000235	1,7419949	4,61097331759002e-05	0	-3,41774786512057e-06	-4,61097331759002e-05	4,61097331759002e-05	0	8,60802681454936e-08	NA
0	1	7201,94834207417	-0,0946248756746787	1,7267998	4,97895896269215e-05	0	-3,6798564510213e-06	-4,97895896269215e-05	4,97895896269215e-05	0	9,24346436972988e-08	NA
0	1	7202,0963420812	-0,094623065917231	1,7116048	5,36796491882867e-05	0	-3,89005956136518e-06	-5,36796491882867e-05	5,36796491882867e-05	0	9,90928884455346e-08	NA
0	1	7202,25234208861	-0,0946545093614556	1,6965673	5,77813447887699e-05	0	-4,10169560048315e-06	-5,77813447887699e-05	5,77813447887699e-05	0	1,06051691063489e-07	NA
0	1	7202,41034209612	-0,0946544579812289	1,6814116	6,19356239752637e-05	0	-4,15427918649382e-06	-6,19356239752637e-05	6,19356239752637e-05	0	1,13036744376813e-07	NA
0	1	7202,57434210391	-0,0946420666944199	1,6663347	6,62470961072379e-05	0	-4,31147213197417e-06	-6,62470961072379e-05	6,62470961072379e-05	0	1,20221100206511e-07	NA
0	1	7202,74234211189	-0,0946546891715213	1,6512579	7,06643151450488e-05	0	-4,41721903781096e-06	-7,06643151450488e-05	7,06643151450488e-05	0	1,27515067917613e-07	NA
0	1	7202,91634212015	-0,0946192400998257	1,6361415	7,52375786337587e-05	0	-4,57326348870993e-06	-7,52375786337588e-05	7,52375786337587e-05	0	1,34997574278546e-07	NA
0	1	7203,10034212889	-0,0946168712062684	1,6209072	8,00735522806644e-05	0	-4,83597364690569e-06	-8,00735522806644e-05	8,00735522806644e-05	0	1,42836238721191e-07	NA
0	1	7203,29234213801	-0,0946482144509825	1,6057515	8,51214572911461e-05	0	-5,04790501048168e-06	-8,51214572911461e-05	8,51214572911461e-05	0	1,50941919836495e-07	NA
0	1	7203,49234214751	-0,0946333413326178	1,5905565	9,03788653926717e-05	0	-5,25740810152557e-06	-9,03788653926717e-05	9,03788653926717e-05	0	1,59304124477843e-07	NA
0	1	7203,70034215739	-0,0946440340127943	1,5754796	9,58471876175867e-05	0	-5,46832222491503e-06	-9,58471876175867e-05	9,58471876175867e-05	0	1,67919354735185e-07	NA
0	1	7203,91634216765	-0,0946453659234131	1,5604421	0,000101525909842716	0	-5,67872222512961e-06	-0,000101525909842716	0,000101525909842716	0	1,76780671912891e-07	NA
0	1	7204,14234217838	-0,094640713074513	1,5453652	0,000107467243779037	0	-5,94133393632041e-06	-0,000107467243779037	0,000107467243779037	0	1,85962202704905e-07	NA
0	1	7204,38234218978	-0,0946576897419286	1,5302095	0,000113777756728232	0	-6,31051294919517e-06	-0,000113777756728232	0,000113777756728232	0	1,95618609830392e-07	NA
0	1	7204,63034220156	-0,0946342751138396	1,5150932	0,000120297007101277	0	-6,5192503730456e-06	-0,000120297007101277	0,000120297007101277	0	2,05495881787668e-07	NA
0	1	7204,88834221382	-0,0946350551145077	1,5000557	0,000127079186373287	0	-6,78217927200927e-06	-0,000127079186373287	0,000127079186373287	0	2,15669528264609e-07	NA
0	1	7205,16034222674	-0,0946436663511013	1,4849395	0,000134230041503906	0	-7,15085513061947e-06	-0,000134230041503906	0,000134230041503906	0	2,26288115192106e-07	NA
0	1	7205,44634224032	-0,0946428984049925	1,4698231	0,000141748894345429	0	-7,51885284152296e-06	-0,000141748894345429	0,000141748894345429	0	2,37339498949676e-07	NA
0	1	7205,74634225457	-0,0946469261990923	1,4547462	0,000149636138569977	0	-7,88724422454834e-06	-0,000149636138569977	0,000149636138569977	0	2,48813437879288e-07	NA
0	1	7206,06034226948	-0,0946564899916807	1,4397087	0,000157892288366953	0	-8,25614979697598e-06	-0,000157892288366953	0,000157892288366953	0	2,60699888650721e-07	NA
0	1	7206,38834228506	-0,0946438675996114	1,4246712	0,000166515396713383	0	-8,62310834642914e-06	-0,000166515396713383	0,000166515396713383	0	2,72984982534359e-07	NA
0	1	7206,74034230178	-0,0946575183418945	1,4096336	0,00017577079894642	0	-9,25540223303768e-06	-0,00017577079894642	0,00017577079894642	0	2,86031708841152e-07	NA
0	1	7207,10834231926	-0,0946263946675104	1,3945961	0,000185443719749649	0	-9,67292080322901e-06	-0,000185443719749649	0,000185443719749649	0	2,99521526467527e-07	NA
0	1	7207,49834233779	-0,094647744272803	1,3795191	0,000195697225866218	0	-1,0253506116569e-05	-0,000195697225866218	0,000195697225866218	0	3,13666434048133e-07	NA
0	1	7207,91234235745	-0,0946361082805177	1,3644422	0,0002065803788354	0	-1,08831529691815e-05	-0,0002065803788354	0,0002065803788354	0	3,285158675469e-07	NA
0	1	7208,35234237835	-0,0946439376020255	1,3494047	0,000218147971758412	0	-1,15675929230121e-05	-0,000218147971758412	0,000218147971758412	0	3,44125231719875e-07	NA
0	1	7208,81434240029	-0,0946541353289297	1,3343278	0,000230295253035923	0	-1,21472812775108e-05	-0,000230295253035923	0,000230295253035923	0	3,60333687028934e-07	NA
0	1	7209,30834242376	-0,0946425794642171	1,3192903	0,000243282318723698	0	-1,29870656877756e-05	-0,000243282318723698	0,000243282318723698	0	3,77467396560981e-07	NA
